method,k_links,packet_coverage_pct,worst_sensor_coverage_pct,median_sensor_coverage_pct
Fairness-aware greedy,3,33.52649590813854,0.0,0.0
Random-k,3,16.800831918547257,0.0,0.0
Top-k RSSI/SNR,3,32.97474961733856,0.0,0.0
Top-k reliability,3,32.97474961733856,0.0,0.0
Fairness-aware greedy,5,53.6313293256966,0.0,45.4232164891248
Random-k,5,25.985164822239863,0.0,3.001414584478174
Top-k RSSI/SNR,5,53.6313293256966,0.0,45.4232164891248
Top-k reliability,5,43.88305444540251,0.0,38.52013057671382
Fairness-aware greedy,7,73.09097162343356,0.0,92.2030115818899
Random-k,7,36.33789471720366,0.0,21.06160536012658
Top-k RSSI/SNR,7,54.66181813462382,0.0,83.94334706583862
Top-k reliability,7,44.67149519026811,0.0,47.29711922794556
Fairness-aware greedy,10,92.5128953052896,86.85923847278828,94.06221959394614
Random-k,10,48.65813631102203,0.0,52.24785885989766
Top-k RSSI/SNR,10,83.53862264593252,0.0,92.72033571707036
Top-k reliability,10,74.2239901753145,0.0,94.73353968704411
Fairness-aware greedy,12,95.19521614389205,90.8464329782496,95.17824985916434
Random-k,12,57.21489877215766,0.3361876685789046,72.99736672293857
Top-k RSSI/SNR,12,93.805386542809,77.04026115342764,92.87433167498787
Top-k reliability,12,93.20910795067866,86.85923847278828,94.73353968704411
Fairness-aware greedy,15,97.8368171004037,94.59423845589112,98.73204856792495
Random-k,15,67.78530726071187,1.2797355632904355,85.69922568099733
Top-k RSSI/SNR,15,95.47319828716927,86.85923847278828,98.22006442315569
Top-k reliability,15,96.33780630152343,88.28822713009896,98.22006442315569
Fairness-aware greedy,20,99.95498100685181,99.80359659178026,99.98264657700486
Random-k,20,80.814482001731,12.913109847098845,94.6679951842759
Top-k RSSI/SNR,20,99.95498100685181,99.80359659178026,99.98264657700486
Top-k reliability,20,99.95498100685181,99.80359659178026,99.98264657700486
Fairness-aware greedy,25,99.9981343480317,99.99034913847501,100.0
Random-k,25,92.02417803835617,50.14910058291167,99.87733035537647
Top-k RSSI/SNR,25,99.99553865833667,99.97494401553472,100.0
Top-k reliability,25,99.98896831879613,99.93786325369221,100.0
Fairness-aware greedy,30,100.0,100.0,100.0
Random-k,30,100.0,100.0,100.0
Top-k RSSI/SNR,30,100.0,100.0,100.0
Top-k reliability,30,100.0,100.0,100.0
