lambda,k_links,packet_coverage_pct,worst_sensor_coverage_pct,median_sensor_coverage_pct,sensor_gap_pct
0.0,10,93.51085687772598,0.0,94.06221959394614,94.06221959394614
0.0,12,95.75353277423258,0.0,95.17824985916434,95.17824985916434
0.0,16,98.66897899357,0.0,99.91349172822191,99.91349172822191
0.001,10,93.51085687772598,0.0,94.06221959394614,94.06221959394614
0.001,12,95.75353277423258,0.0,95.17824985916434,95.17824985916434
0.001,16,98.66897899357,0.0,99.91349172822191,99.91349172822191
0.002,10,93.51085687772598,0.0,94.06221959394614,94.06221959394614
0.002,12,95.75353277423258,0.0,95.17824985916434,95.17824985916434
0.002,16,98.53562543548779,94.87284091819711,99.84635839726594,4.973517479068832
0.005,10,93.51085687772598,0.0,94.06221959394614,94.06221959394614
0.005,12,95.75353277423258,0.0,95.17824985916434,95.17824985916434
0.005,16,98.53562543548779,94.87284091819711,99.84635839726594,4.973517479068832
0.01,10,93.51085687772598,0.0,94.06221959394614,94.06221959394614
0.01,12,95.19521614389205,90.8464329782496,95.17824985916434,4.331816880914744
0.01,16,98.53562543548779,94.87284091819711,99.84635839726594,4.973517479068832
0.02,10,92.5128953052896,86.85923847278828,94.06221959394614,7.202981121157862
0.02,12,95.19521614389205,90.8464329782496,95.17824985916434,4.331816880914744
0.02,16,98.53562543548779,94.87284091819711,99.84635839726594,4.973517479068832
0.05,10,92.5128953052896,86.85923847278828,94.06221959394614,7.202981121157862
0.05,12,95.19521614389205,90.8464329782496,95.17824985916434,4.331816880914744
0.05,16,98.53562543548779,94.87284091819711,99.84635839726594,4.973517479068832
0.1,10,92.5128953052896,86.85923847278828,94.06221959394614,7.202981121157862
0.1,12,95.19521614389205,90.8464329782496,95.17824985916434,4.331816880914744
0.1,16,98.53562543548779,94.87284091819711,99.84635839726594,4.973517479068832
0.25,10,92.5128953052896,86.85923847278828,94.06221959394614,7.202981121157862
0.25,12,95.19521614389205,90.8464329782496,95.17824985916434,4.331816880914744
0.25,16,98.53562543548779,94.87284091819711,99.84635839726594,4.973517479068832
0.5,10,92.5128953052896,86.85923847278828,94.06221959394614,7.202981121157862
0.5,12,95.19521614389205,90.8464329782496,95.17824985916434,4.331816880914744
0.5,16,98.53562543548779,94.87284091819711,99.84635839726594,4.973517479068832
1.0,10,92.5128953052896,86.85923847278828,94.06221959394614,7.202981121157862
1.0,12,95.19521614389205,90.8464329782496,95.17824985916434,4.331816880914744
1.0,16,98.53562543548779,94.87284091819711,99.84635839726594,4.973517479068832
