k_links,lambda,subset_size,matches_reference_lambda,subset_equals_reference,symmetric_diff_vs_reference
10,0.0,10,1.0,False,2
10,0.001,10,1.0,False,2
10,0.002,10,1.0,False,2
10,0.005,10,1.0,False,2
10,0.01,10,1.0,False,2
10,0.02,10,1.0,True,0
10,0.05,10,1.0,True,0
10,0.1,10,1.0,True,0
10,0.25,10,1.0,True,0
10,0.5,10,1.0,True,0
10,1.0,10,1.0,True,0
12,0.0,12,1.0,False,2
12,0.001,12,1.0,False,2
12,0.002,12,1.0,False,2
12,0.005,12,1.0,False,2
12,0.01,12,1.0,True,0
12,0.02,12,1.0,True,0
12,0.05,12,1.0,True,0
12,0.1,12,1.0,True,0
12,0.25,12,1.0,True,0
12,0.5,12,1.0,True,0
12,1.0,12,1.0,True,0
16,0.0,16,1.0,False,2
16,0.001,16,1.0,False,2
16,0.002,16,1.0,True,0
16,0.005,16,1.0,True,0
16,0.01,16,1.0,True,0
16,0.02,16,1.0,True,0
16,0.05,16,1.0,True,0
16,0.1,16,1.0,True,0
16,0.25,16,1.0,True,0
16,0.5,16,1.0,True,0
16,1.0,16,1.0,True,0
