P_min_pct,S_min_pct,month,meets_both_thresholds_coverage_only,meets_both_thresholds_exact,meets_both_thresholds_multicover,meets_both_thresholds_proposed,n_links_coverage_only,n_links_exact,n_links_multicover,n_links_proposed,proposed_gap_from_exact,proposed_matches_exact,multicover_gap_from_exact,multicover_matches_exact,coverage_only_gap_from_exact,coverage_only_matches_exact
90,80,2024-02,True,True,True,True,9,9,9,9,0,True,0,True,0,True
90,80,2024-03,True,True,True,True,9,9,9,9,0,True,0,True,0,True
90,80,2024-04,True,True,True,True,9,9,9,9,0,True,0,True,0,True
90,80,2024-05,True,True,True,True,9,9,9,9,0,True,0,True,0,True
90,80,2024-06,True,True,True,True,9,9,9,9,0,True,0,True,0,True
90,80,2024-07,True,True,True,True,9,9,9,9,0,True,0,True,0,True
90,80,2024-08,True,True,True,True,9,9,9,9,0,True,0,True,0,True
90,80,2024-09,True,True,True,True,9,9,9,9,0,True,0,True,0,True
90,80,2024-10,True,True,True,True,9,9,9,9,0,True,0,True,0,True
90,80,2024-11,True,True,True,True,9,9,9,9,0,True,0,True,0,True
90,80,2024-12,True,True,True,True,9,9,9,9,0,True,0,True,0,True
90,80,2025-01,True,True,True,True,9,9,9,9,0,True,0,True,0,True
90,80,2025-02,True,True,True,True,9,9,9,9,0,True,0,True,0,True
90,80,2025-03,True,True,True,True,9,9,9,9,0,True,0,True,0,True
90,80,2025-04,True,True,True,True,9,9,9,9,0,True,0,True,0,True
90,80,2025-05,True,True,True,True,13,13,13,13,0,True,0,True,0,True
90,80,2025-06,True,True,True,True,9,9,9,9,0,True,0,True,0,True
95,85,2024-02,True,True,True,True,9,9,9,9,0,True,0,True,0,True
95,85,2024-03,True,True,True,True,9,9,9,9,0,True,0,True,0,True
95,85,2024-04,True,True,True,True,10,10,10,10,0,True,0,True,0,True
95,85,2024-05,True,True,True,True,9,9,9,9,0,True,0,True,0,True
95,85,2024-06,True,True,True,True,9,9,9,9,0,True,0,True,0,True
95,85,2024-07,True,True,True,True,9,9,9,9,0,True,0,True,0,True
95,85,2024-08,True,True,True,True,9,9,9,9,0,True,0,True,0,True
95,85,2024-09,True,True,True,True,9,9,9,9,0,True,0,True,0,True
95,85,2024-10,True,True,True,True,9,9,9,9,0,True,0,True,0,True
95,85,2024-11,True,True,True,True,9,9,9,9,0,True,0,True,0,True
95,85,2024-12,True,True,True,True,9,9,9,9,0,True,0,True,0,True
95,85,2025-01,True,True,True,True,9,9,9,9,0,True,0,True,0,True
95,85,2025-02,True,True,True,True,9,9,9,9,0,True,0,True,0,True
95,85,2025-03,True,True,True,True,9,9,9,9,0,True,0,True,0,True
95,85,2025-04,True,True,True,True,9,9,9,9,0,True,0,True,0,True
95,85,2025-05,True,True,True,True,13,13,13,13,0,True,0,True,0,True
95,85,2025-06,True,True,True,True,9,9,9,9,0,True,0,True,0,True
98,90,2024-02,True,True,True,True,11,11,11,11,0,True,0,True,0,True
98,90,2024-03,True,True,True,True,11,11,11,11,0,True,0,True,0,True
98,90,2024-04,True,True,True,True,14,14,14,14,0,True,0,True,0,True
98,90,2024-05,True,True,True,True,11,11,11,11,0,True,0,True,0,True
98,90,2024-06,True,True,True,True,11,11,11,11,0,True,0,True,0,True
98,90,2024-07,True,True,True,True,11,11,11,11,0,True,0,True,0,True
98,90,2024-08,True,True,True,True,12,12,12,12,0,True,0,True,0,True
98,90,2024-09,True,True,True,True,11,11,11,11,0,True,0,True,0,True
98,90,2024-10,True,True,True,True,11,11,11,11,0,True,0,True,0,True
98,90,2024-11,True,True,True,True,11,11,11,11,0,True,0,True,0,True
98,90,2024-12,True,True,True,True,10,10,10,10,0,True,0,True,0,True
98,90,2025-01,True,True,True,True,12,12,12,12,0,True,0,True,0,True
98,90,2025-02,True,True,True,True,12,12,12,12,0,True,0,True,0,True
98,90,2025-03,True,True,True,True,11,11,11,11,0,True,0,True,0,True
98,90,2025-04,True,True,True,True,12,12,12,12,0,True,0,True,0,True
98,90,2025-05,True,True,True,True,15,15,15,15,0,True,0,True,0,True
98,90,2025-06,True,True,True,True,11,11,11,11,0,True,0,True,0,True
