lambda,k_links,median_sensor_coverage_pct,worst_sensor_coverage_pct,sensor_gap_pct
0.0,10,94.06221959394614,0.0,94.06221959394614
0.0,12,95.17824985916434,0.0,95.17824985916434
0.0,16,99.91349172822191,0.0,99.91349172822191
0.001,10,94.06221959394614,0.0,94.06221959394614
0.001,12,95.17824985916434,0.0,95.17824985916434
0.001,16,99.91349172822191,0.0,99.91349172822191
0.002,10,94.06221959394614,0.0,94.06221959394614
0.002,12,95.17824985916434,0.0,95.17824985916434
0.002,16,99.84635839726594,94.87284091819711,4.973517479068832
0.005,10,94.06221959394614,0.0,94.06221959394614
0.005,12,95.17824985916434,0.0,95.17824985916434
0.005,16,99.84635839726594,94.87284091819711,4.973517479068832
0.01,10,94.06221959394614,0.0,94.06221959394614
0.01,12,95.17824985916434,90.8464329782496,4.331816880914744
0.01,16,99.84635839726594,94.87284091819711,4.973517479068832
0.02,10,94.06221959394614,86.85923847278828,7.202981121157862
0.02,12,95.17824985916434,90.8464329782496,4.331816880914744
0.02,16,99.84635839726594,94.87284091819711,4.973517479068832
0.05,10,94.06221959394614,86.85923847278828,7.202981121157862
0.05,12,95.17824985916434,90.8464329782496,4.331816880914744
0.05,16,99.84635839726594,94.87284091819711,4.973517479068832
0.1,10,94.06221959394614,86.85923847278828,7.202981121157862
0.1,12,95.17824985916434,90.8464329782496,4.331816880914744
0.1,16,99.84635839726594,94.87284091819711,4.973517479068832
0.25,10,94.06221959394614,86.85923847278828,7.202981121157862
0.25,12,95.17824985916434,90.8464329782496,4.331816880914744
0.25,16,99.84635839726594,94.87284091819711,4.973517479068832
0.5,10,94.06221959394614,86.85923847278828,7.202981121157862
0.5,12,95.17824985916434,90.8464329782496,4.331816880914744
0.5,16,99.84635839726594,94.87284091819711,4.973517479068832
1.0,10,94.06221959394614,86.85923847278828,7.202981121157862
1.0,12,95.17824985916434,90.8464329782496,4.331816880914744
1.0,16,99.84635839726594,94.87284091819711,4.973517479068832
