P_min_pct,S_min_pct,method,n_links,selected_links,subset_hash,min_month_packet_coverage_pct,min_month_worst_sensor_coverage_pct,worst_packet_slack_pp,worst_sensor_slack_pp,months_meeting_packet_threshold,months_meeting_sensor_threshold,months_meeting_both_thresholds,mean_packet_shortfall_pp,mean_sensor_shortfall_pp,mean_month_packet_coverage_pct,mean_month_worst_sensor_coverage_pct
80,50,Proposed fairness greedy (lambda=1),10,sensor01→gatewayA;sensor02→gatewayC;sensor03→gatewayC;sensor04→gatewayA;sensor05→gatewayA;sensor06→gatewayA;sensor07→gatewayA;sensor08→gatewayA;sensor09→gatewayA;sensor10→gatewayC,d53238027e5c,68.10613204500537,17.333499005964214,-11.893867954994633,-32.666500994035786,15,16,15,0.7161678548939392,1.921558882002105,92.64450689912206,81.14330309886016
80,50,Multi-cover greedy,10,sensor01→gatewayA;sensor02→gatewayC;sensor03→gatewayC;sensor04→gatewayA;sensor05→gatewayA;sensor06→gatewayA;sensor07→gatewayA;sensor08→gatewayA;sensor09→gatewayA;sensor10→gatewayA,d708670db0b5,66.88799038921111,17.333499005964214,-13.112009610788888,-32.666500994035786,15,16,15,0.7878232464112483,1.921558882002105,92.53240863732839,81.14330309886016
80,51,Proposed fairness greedy (lambda=1),10,sensor01→gatewayA;sensor02→gatewayC;sensor03→gatewayC;sensor04→gatewayA;sensor05→gatewayA;sensor06→gatewayA;sensor07→gatewayA;sensor08→gatewayA;sensor09→gatewayA;sensor10→gatewayC,d53238027e5c,68.10613204500537,17.333499005964214,-11.893867954994633,-33.666500994035786,15,16,15,0.7161678548939392,1.9803824114138697,92.64450689912206,81.14330309886016
80,51,Multi-cover greedy,10,sensor01→gatewayA;sensor02→gatewayC;sensor03→gatewayC;sensor04→gatewayA;sensor05→gatewayA;sensor06→gatewayA;sensor07→gatewayA;sensor08→gatewayA;sensor09→gatewayA;sensor10→gatewayA,d708670db0b5,66.88799038921111,17.333499005964214,-13.112009610788888,-33.666500994035786,15,16,15,0.7878232464112483,1.9803824114138697,92.53240863732839,81.14330309886016
80,52,Proposed fairness greedy (lambda=1),10,sensor01→gatewayA;sensor02→gatewayC;sensor03→gatewayC;sensor04→gatewayA;sensor05→gatewayA;sensor06→gatewayA;sensor07→gatewayA;sensor08→gatewayA;sensor09→gatewayA;sensor10→gatewayC,d53238027e5c,68.10613204500537,17.333499005964214,-11.893867954994633,-34.666500994035786,15,16,15,0.7161678548939392,2.0392059408256347,92.64450689912206,81.14330309886016
80,52,Multi-cover greedy,10,sensor01→gatewayA;sensor02→gatewayC;sensor03→gatewayC;sensor04→gatewayA;sensor05→gatewayA;sensor06→gatewayA;sensor07→gatewayA;sensor08→gatewayA;sensor09→gatewayA;sensor10→gatewayA,d708670db0b5,66.88799038921111,17.333499005964214,-13.112009610788888,-34.666500994035786,15,16,15,0.7878232464112483,2.0392059408256347,92.53240863732839,81.14330309886016
80,53,Proposed fairness greedy (lambda=1),10,sensor01→gatewayA;sensor02→gatewayC;sensor03→gatewayC;sensor04→gatewayA;sensor05→gatewayA;sensor06→gatewayA;sensor07→gatewayA;sensor08→gatewayA;sensor09→gatewayA;sensor10→gatewayC,d53238027e5c,68.10613204500537,17.333499005964214,-11.893867954994633,-35.666500994035786,15,15,15,0.7161678548939392,2.153025534191361,92.64450689912206,81.14330309886016
80,53,Multi-cover greedy,10,sensor01→gatewayA;sensor02→gatewayC;sensor03→gatewayC;sensor04→gatewayA;sensor05→gatewayA;sensor06→gatewayA;sensor07→gatewayA;sensor08→gatewayA;sensor09→gatewayA;sensor10→gatewayA,d708670db0b5,66.88799038921111,17.333499005964214,-13.112009610788888,-35.666500994035786,15,15,15,0.7878232464112483,2.153025534191361,92.53240863732839,81.14330309886016
80,54,Proposed fairness greedy (lambda=1),10,sensor01→gatewayA;sensor02→gatewayC;sensor03→gatewayC;sensor04→gatewayA;sensor05→gatewayA;sensor06→gatewayA;sensor07→gatewayA;sensor08→gatewayA;sensor09→gatewayA;sensor10→gatewayC,d53238027e5c,68.10613204500537,17.333499005964214,-11.893867954994633,-36.666500994035786,15,15,15,0.7161678548939392,2.2706725930148903,92.64450689912206,81.14330309886016
80,54,Multi-cover greedy,10,sensor01→gatewayA;sensor02→gatewayC;sensor03→gatewayC;sensor04→gatewayA;sensor05→gatewayA;sensor06→gatewayA;sensor07→gatewayA;sensor08→gatewayA;sensor09→gatewayA;sensor10→gatewayA,d708670db0b5,66.88799038921111,17.333499005964214,-13.112009610788888,-36.666500994035786,15,15,15,0.7878232464112483,2.2706725930148903,92.53240863732839,81.14330309886016
80,55,Proposed fairness greedy (lambda=1),10,sensor01→gatewayA;sensor02→gatewayC;sensor03→gatewayC;sensor04→gatewayA;sensor05→gatewayA;sensor06→gatewayA;sensor07→gatewayA;sensor08→gatewayA;sensor09→gatewayA;sensor10→gatewayC,d53238027e5c,68.10613204500537,17.333499005964214,-11.893867954994633,-37.666500994035786,15,15,15,0.7161678548939392,2.3883196518384198,92.64450689912206,81.14330309886016
80,55,Multi-cover greedy,10,sensor01→gatewayA;sensor02→gatewayC;sensor03→gatewayC;sensor04→gatewayA;sensor05→gatewayA;sensor06→gatewayA;sensor07→gatewayA;sensor08→gatewayA;sensor09→gatewayA;sensor10→gatewayA,d708670db0b5,66.88799038921111,17.333499005964214,-13.112009610788888,-37.666500994035786,15,15,15,0.7878232464112483,2.3883196518384198,92.53240863732839,81.14330309886016
80,56,Proposed fairness greedy (lambda=1),10,sensor01→gatewayA;sensor02→gatewayC;sensor03→gatewayC;sensor04→gatewayA;sensor05→gatewayA;sensor06→gatewayA;sensor07→gatewayA;sensor08→gatewayA;sensor09→gatewayA;sensor10→gatewayC,d53238027e5c,68.10613204500537,17.333499005964214,-11.893867954994633,-38.666500994035786,15,15,15,0.7161678548939392,2.505966710661949,92.64450689912206,81.14330309886016
80,56,Multi-cover greedy,10,sensor01→gatewayA;sensor02→gatewayC;sensor03→gatewayC;sensor04→gatewayA;sensor05→gatewayA;sensor06→gatewayA;sensor07→gatewayA;sensor08→gatewayA;sensor09→gatewayA;sensor10→gatewayA,d708670db0b5,66.88799038921111,17.333499005964214,-13.112009610788888,-38.666500994035786,15,15,15,0.7878232464112483,2.505966710661949,92.53240863732839,81.14330309886016
80,57,Proposed fairness greedy (lambda=1),10,sensor01→gatewayA;sensor02→gatewayC;sensor03→gatewayC;sensor04→gatewayA;sensor05→gatewayA;sensor06→gatewayA;sensor07→gatewayA;sensor08→gatewayA;sensor09→gatewayA;sensor10→gatewayC,d53238027e5c,68.10613204500537,17.333499005964214,-11.893867954994633,-39.666500994035786,15,15,15,0.7161678548939392,2.6236137694854786,92.64450689912206,81.14330309886016
80,57,Multi-cover greedy,10,sensor01→gatewayA;sensor02→gatewayC;sensor03→gatewayC;sensor04→gatewayA;sensor05→gatewayA;sensor06→gatewayA;sensor07→gatewayA;sensor08→gatewayA;sensor09→gatewayA;sensor10→gatewayA,d708670db0b5,66.88799038921111,17.333499005964214,-13.112009610788888,-39.666500994035786,15,15,15,0.7878232464112483,2.6236137694854786,92.53240863732839,81.14330309886016
80,58,Proposed fairness greedy (lambda=1),10,sensor01→gatewayA;sensor02→gatewayC;sensor03→gatewayC;sensor04→gatewayA;sensor05→gatewayA;sensor06→gatewayA;sensor07→gatewayA;sensor08→gatewayA;sensor09→gatewayA;sensor10→gatewayC,d53238027e5c,68.10613204500537,17.333499005964214,-11.893867954994633,-40.666500994035786,15,15,15,0.7161678548939392,2.741260828309008,92.64450689912206,81.14330309886016
80,58,Multi-cover greedy,10,sensor01→gatewayA;sensor02→gatewayC;sensor03→gatewayC;sensor04→gatewayA;sensor05→gatewayA;sensor06→gatewayA;sensor07→gatewayA;sensor08→gatewayA;sensor09→gatewayA;sensor10→gatewayA,d708670db0b5,66.88799038921111,17.333499005964214,-13.112009610788888,-40.666500994035786,15,15,15,0.7878232464112483,2.741260828309008,92.53240863732839,81.14330309886016
