sensor,gateway,link_packets,sensor_packets,coverage_fraction
sensor01,gatewayA,117049,132576,0.8828822713009896
sensor01,gatewayB,9443,132576,0.0712270697562153
sensor01,gatewayC,95134,132576,0.7175808592807145
sensor02,gatewayA,115072,159367,0.7220566365684238
sensor02,gatewayB,37,159367,0.00023216851669417133
sensor02,gatewayC,150752,159367,0.9459423845589112
sensor03,gatewayA,118105,131967,0.8949585881318814
sensor03,gatewayB,11690,131967,0.0885827517485432
sensor03,gatewayC,123429,131967,0.9353020073200118
sensor04,gatewayA,117002,134703,0.8685923847278828
sensor04,gatewayB,991,134703,0.0073569259778921035
sensor04,gatewayC,114108,134703,0.8471080822253402
sensor05,gatewayA,130231,137269,0.9487284091819712
sensor05,gatewayB,1265,137269,0.009215482009776425
sensor05,gatewayC,116613,137269,0.8495217419810737
sensor06,gatewayA,132336,136942,0.9663653225453112
sensor06,gatewayB,301,136942,0.0021980108367045904
sensor06,gatewayC,77651,136942,0.5670356793386981
sensor07,gatewayA,124426,136963,0.908464329782496
sensor07,gatewayB,36258,136963,0.2647284303059951
sensor07,gatewayC,121449,136963,0.8867285325233822
sensor08,gatewayA,117955,129798,0.9087582243177861
sensor08,gatewayB,83494,129798,0.643261067196721
sensor08,gatewayC,24,129798,0.000184902694956779
sensor09,gatewayA,121946,127714,0.9548365880013154
sensor09,gatewayB,44558,127714,0.3488889236888673
sensor09,gatewayC,366,127714,0.0028657782232175016
sensor10,gatewayA,4248,5514,0.7704026115342764
sensor10,gatewayB,194,5514,0.035183170112441056
sensor10,gatewayC,5385,5514,0.9766050054406964
