family,n_sensors,n_gateways,n_links,packets_per_sensor,total_observed_packets,seed,P_min_pct,S_min_pct,greedy_k,greedy_prefix_runtime_ms,exact_status,exact_k,exact_runtime_ms,greedy_gap_links,local_subsets_enumerated_per_sensor,admissible_subsets_median_at_S85,admissible_subsets_min_at_S85,admissible_subsets_max_at_S85
sensor_scaling,10,3,30,500,5000,0,90,80,11,0.7183999987319112,Optimal,11.0,0.4086000844836235,0.0,8,6.0,2.0,6.0
sensor_scaling,10,3,30,500,5000,0,95,85,12,0.7183999987319112,Optimal,12.0,0.39119995199143887,0.0,8,6.0,2.0,6.0
sensor_scaling,10,3,30,500,5000,0,98,90,16,0.7183999987319112,Optimal,16.0,0.36200007889419794,0.0,8,6.0,2.0,6.0
sensor_scaling,10,3,30,500,5000,1,90,80,11,0.6881000008434057,Optimal,11.0,0.3891999367624521,0.0,8,4.0,2.0,6.0
sensor_scaling,10,3,30,500,5000,1,95,85,12,0.6881000008434057,Optimal,12.0,0.36940001882612705,0.0,8,4.0,2.0,6.0
sensor_scaling,10,3,30,500,5000,1,98,90,16,0.6881000008434057,Optimal,16.0,0.33320009242743254,0.0,8,4.0,2.0,6.0
sensor_scaling,10,3,30,500,5000,2,90,80,11,0.7166999857872725,Optimal,11.0,0.3668999997898936,0.0,8,4.0,2.0,6.0
sensor_scaling,10,3,30,500,5000,2,95,85,12,0.7166999857872725,Optimal,12.0,0.36150007508695126,0.0,8,4.0,2.0,6.0
sensor_scaling,10,3,30,500,5000,2,98,90,17,0.7166999857872725,Optimal,17.0,0.3543999046087265,0.0,8,4.0,2.0,6.0
sensor_scaling,10,3,30,500,5000,3,90,80,10,0.645300024189055,Optimal,10.0,0.39770000148564577,0.0,8,6.0,2.0,7.0
sensor_scaling,10,3,30,500,5000,3,95,85,11,0.645300024189055,Optimal,11.0,0.3852000227198005,0.0,8,6.0,2.0,7.0
sensor_scaling,10,3,30,500,5000,3,98,90,15,0.645300024189055,Optimal,15.0,0.48479996621608734,0.0,8,6.0,2.0,7.0
sensor_scaling,10,3,30,500,5000,4,90,80,10,0.6351999472826719,Optimal,10.0,0.40490005630999804,0.0,8,6.0,4.0,7.0
sensor_scaling,10,3,30,500,5000,4,95,85,11,0.6351999472826719,Optimal,11.0,0.40039990562945604,0.0,8,6.0,4.0,7.0
sensor_scaling,10,3,30,500,5000,4,98,90,15,0.6351999472826719,Optimal,15.0,0.3773999633267522,0.0,8,6.0,4.0,7.0
sensor_scaling,50,3,150,500,25000,0,90,80,55,6.995500065386295,Optimal,55.0,5.3931999718770385,0.0,8,5.0,2.0,7.0
sensor_scaling,50,3,150,500,25000,0,95,85,64,6.995500065386295,Optimal,64.0,5.221999948844314,0.0,8,5.0,2.0,7.0
sensor_scaling,50,3,150,500,25000,0,98,90,83,6.995500065386295,Optimal,82.0,4.472599946893752,1.0,8,5.0,2.0,7.0
sensor_scaling,50,3,150,500,25000,1,90,80,54,6.501100026071072,Optimal,54.0,5.6791000533849,0.0,8,4.0,2.0,7.0
sensor_scaling,50,3,150,500,25000,1,95,85,60,6.501100026071072,Optimal,60.0,5.086100078187883,0.0,8,4.0,2.0,7.0
sensor_scaling,50,3,150,500,25000,1,98,90,78,6.501100026071072,Optimal,78.0,4.24650008790195,0.0,8,4.0,2.0,7.0
sensor_scaling,50,3,150,500,25000,2,90,80,53,6.676199962384999,Optimal,53.0,5.459500011056662,0.0,8,4.5,2.0,7.0
sensor_scaling,50,3,150,500,25000,2,95,85,62,6.676199962384999,Optimal,61.0,5.029799998737872,1.0,8,4.5,2.0,7.0
sensor_scaling,50,3,150,500,25000,2,98,90,81,6.676199962384999,Optimal,81.0,4.466800019145012,0.0,8,4.5,2.0,7.0
sensor_scaling,50,3,150,500,25000,3,90,80,52,6.229099933989346,Optimal,52.0,5.586000042967498,0.0,8,6.0,2.0,7.0
sensor_scaling,50,3,150,500,25000,3,95,85,56,6.229099933989346,Optimal,56.0,5.570600042119622,0.0,8,6.0,2.0,7.0
sensor_scaling,50,3,150,500,25000,3,98,90,75,6.229099933989346,Optimal,75.0,4.8322000075131655,0.0,8,6.0,2.0,7.0
sensor_scaling,50,3,150,500,25000,4,90,80,53,6.4786000875756145,Optimal,53.0,5.3773000836372375,0.0,8,4.0,2.0,7.0
sensor_scaling,50,3,150,500,25000,4,95,85,60,6.4786000875756145,Optimal,60.0,5.0478000193834305,0.0,8,4.0,2.0,7.0
sensor_scaling,50,3,150,500,25000,4,98,90,77,6.4786000875756145,Optimal,77.0,4.292000085115433,0.0,8,4.0,2.0,7.0
sensor_scaling,100,3,300,500,50000,0,90,80,112,27.46879996266216,Optimal,112.0,19.154899986460805,0.0,8,5.0,2.0,7.0
sensor_scaling,100,3,300,500,50000,0,95,85,126,27.46879996266216,Optimal,126.0,18.37760000489652,0.0,8,5.0,2.0,7.0
sensor_scaling,100,3,300,500,50000,0,98,90,165,27.46879996266216,Optimal,164.0,15.657800016924739,1.0,8,5.0,2.0,7.0
sensor_scaling,100,3,300,500,50000,1,90,80,105,26.377099915407598,Optimal,105.0,20.465200068429112,0.0,8,5.0,2.0,7.0
sensor_scaling,100,3,300,500,50000,1,95,85,119,26.377099915407598,Optimal,118.0,19.408300053328276,1.0,8,5.0,2.0,7.0
sensor_scaling,100,3,300,500,50000,1,98,90,158,26.377099915407598,Optimal,158.0,16.385499970056117,0.0,8,5.0,2.0,7.0
sensor_scaling,100,3,300,500,50000,2,90,80,105,26.780500076711178,Optimal,105.0,19.754600012674928,0.0,8,4.0,2.0,7.0
sensor_scaling,100,3,300,500,50000,2,95,85,122,26.780500076711178,Optimal,121.0,18.81360006518662,1.0,8,4.0,2.0,7.0
sensor_scaling,100,3,300,500,50000,2,98,90,162,26.780500076711178,Optimal,161.0,28.602899983525276,1.0,8,4.0,2.0,7.0
sensor_scaling,100,3,300,500,50000,3,90,80,105,25.657599908299744,Optimal,105.0,20.444999914616346,0.0,8,6.0,2.0,7.0
sensor_scaling,100,3,300,500,50000,3,95,85,118,25.657599908299744,Optimal,118.0,19.377000047825277,0.0,8,6.0,2.0,7.0
sensor_scaling,100,3,300,500,50000,3,98,90,155,25.657599908299744,Optimal,155.0,16.468700021505356,0.0,8,6.0,2.0,7.0
sensor_scaling,100,3,300,500,50000,4,90,80,109,25.339200044982135,Optimal,109.0,19.477699999697506,0.0,8,5.0,2.0,7.0
sensor_scaling,100,3,300,500,50000,4,95,85,119,25.339200044982135,Optimal,119.0,18.479199963621795,0.0,8,5.0,2.0,7.0
sensor_scaling,100,3,300,500,50000,4,98,90,153,25.339200044982135,Optimal,153.0,15.43260004837066,0.0,8,5.0,2.0,7.0
sensor_scaling,200,3,600,500,100000,0,90,80,218,133.15309991594404,Optimal,218.0,77.85510004032403,0.0,8,5.0,2.0,7.0
sensor_scaling,200,3,600,500,100000,0,95,85,241,133.15309991594404,Optimal,241.0,86.57160005532205,0.0,8,5.0,2.0,7.0
sensor_scaling,200,3,600,500,100000,0,98,90,318,133.15309991594404,Optimal,317.0,62.36720003653318,1.0,8,5.0,2.0,7.0
sensor_scaling,200,3,600,500,100000,1,90,80,208,134.82559996191412,Optimal,208.0,90.39629995822906,0.0,8,5.0,2.0,7.0
sensor_scaling,200,3,600,500,100000,1,95,85,245,134.82559996191412,Optimal,245.0,73.95410002209246,0.0,8,5.0,2.0,7.0
sensor_scaling,200,3,600,500,100000,1,98,90,321,134.82559996191412,Optimal,320.0,60.80790003761649,1.0,8,5.0,2.0,7.0
sensor_scaling,200,3,600,500,100000,2,90,80,209,135.46580006368458,Optimal,209.0,90.52329999394715,0.0,8,5.0,2.0,7.0
sensor_scaling,200,3,600,500,100000,2,95,85,244,135.46580006368458,Optimal,243.0,75.7619000505656,1.0,8,5.0,2.0,7.0
sensor_scaling,200,3,600,500,100000,2,98,90,321,135.46580006368458,Optimal,321.0,69.507300038822,0.0,8,5.0,2.0,7.0
sensor_scaling,200,3,600,500,100000,3,90,80,218,130.2219000644982,Optimal,218.0,77.08329998422414,0.0,8,6.0,2.0,7.0
sensor_scaling,200,3,600,500,100000,3,95,85,237,130.2219000644982,Optimal,237.0,73.65839998237789,0.0,8,6.0,2.0,7.0
sensor_scaling,200,3,600,500,100000,3,98,90,309,130.2219000644982,Optimal,309.0,73.36290006060153,0.0,8,6.0,2.0,7.0
sensor_scaling,200,3,600,500,100000,4,90,80,218,129.26419998984784,Optimal,218.0,78.94809998106211,0.0,8,6.0,2.0,7.0
sensor_scaling,200,3,600,500,100000,4,95,85,237,129.26419998984784,Optimal,237.0,87.7352999523282,0.0,8,6.0,2.0,7.0
sensor_scaling,200,3,600,500,100000,4,98,90,306,129.26419998984784,Optimal,306.0,61.43060000613332,0.0,8,6.0,2.0,7.0
sensor_scaling,500,3,1500,500,250000,0,90,80,536,1520.3725999454036,Optimal,536.0,548.181000049226,0.0,8,5.0,1.0,7.0
sensor_scaling,500,3,1500,500,250000,0,95,85,600,1520.3725999454036,Optimal,600.0,502.8250999748707,0.0,8,5.0,1.0,7.0
sensor_scaling,500,3,1500,500,250000,0,98,90,793,1520.3725999454036,Optimal,793.0,419.7322999825701,0.0,8,5.0,1.0,7.0
sensor_scaling,500,3,1500,500,250000,1,90,80,527,1523.9752000197768,Optimal,527.0,532.4076999677345,0.0,8,5.0,2.0,7.0
sensor_scaling,500,3,1500,500,250000,1,95,85,607,1523.9752000197768,Optimal,606.0,516.8544999323785,1.0,8,5.0,2.0,7.0
sensor_scaling,500,3,1500,500,250000,1,98,90,794,1523.9752000197768,Optimal,793.0,413.1811000406742,1.0,8,5.0,2.0,7.0
sensor_scaling,500,3,1500,500,250000,2,90,80,520,1518.2539999950677,Optimal,520.0,566.5256000356749,0.0,8,6.0,2.0,7.0
sensor_scaling,500,3,1500,500,250000,2,95,85,593,1518.2539999950677,Optimal,592.0,519.8283999925479,1.0,8,6.0,2.0,7.0
sensor_scaling,500,3,1500,500,250000,2,98,90,790,1518.2539999950677,Optimal,790.0,443.58520000241697,0.0,8,6.0,2.0,7.0
sensor_scaling,500,3,1500,500,250000,3,90,80,547,1495.9603999741375,Optimal,547.0,520.6301000434905,0.0,8,5.0,2.0,7.0
sensor_scaling,500,3,1500,500,250000,3,95,85,595,1495.9603999741375,Optimal,594.0,505.4569999920204,1.0,8,5.0,2.0,7.0
sensor_scaling,500,3,1500,500,250000,3,98,90,778,1495.9603999741375,Optimal,778.0,415.0395999895409,0.0,8,5.0,2.0,7.0
sensor_scaling,500,3,1500,500,250000,4,90,80,537,1504.19319991488,Optimal,537.0,543.9858000027016,0.0,8,5.0,1.0,7.0
sensor_scaling,500,3,1500,500,250000,4,95,85,602,1504.19319991488,Optimal,602.0,490.0015000021085,0.0,8,5.0,1.0,7.0
sensor_scaling,500,3,1500,500,250000,4,98,90,783,1504.19319991488,Optimal,782.0,424.561099964194,1.0,8,5.0,1.0,7.0
gateway_scaling,50,3,150,500,25000,0,90,80,55,6.762300035916269,Optimal,55.0,5.539100035093725,0.0,8,5.0,2.0,7.0
gateway_scaling,50,3,150,500,25000,0,95,85,64,6.762300035916269,Optimal,64.0,5.238099955022335,0.0,8,5.0,2.0,7.0
gateway_scaling,50,3,150,500,25000,0,98,90,83,6.762300035916269,Optimal,82.0,4.4908999698236585,1.0,8,5.0,2.0,7.0
gateway_scaling,50,3,150,500,25000,1,90,80,54,6.544000003486872,Optimal,54.0,5.229500005953014,0.0,8,4.0,2.0,7.0
gateway_scaling,50,3,150,500,25000,1,95,85,60,6.544000003486872,Optimal,60.0,4.995699971914291,0.0,8,4.0,2.0,7.0
gateway_scaling,50,3,150,500,25000,1,98,90,78,6.544000003486872,Optimal,78.0,4.151499946601689,0.0,8,4.0,2.0,7.0
gateway_scaling,50,3,150,500,25000,2,90,80,53,6.620300002396107,Optimal,53.0,5.431000026874244,0.0,8,4.5,2.0,7.0
gateway_scaling,50,3,150,500,25000,2,95,85,62,6.620300002396107,Optimal,61.0,5.130699952133,1.0,8,4.5,2.0,7.0
gateway_scaling,50,3,150,500,25000,2,98,90,81,6.620300002396107,Optimal,81.0,4.426500061526895,0.0,8,4.5,2.0,7.0
gateway_scaling,50,3,150,500,25000,3,90,80,52,6.2281000427901745,Optimal,52.0,5.722900037653744,0.0,8,6.0,2.0,7.0
gateway_scaling,50,3,150,500,25000,3,95,85,56,6.2281000427901745,Optimal,56.0,5.525800050236285,0.0,8,6.0,2.0,7.0
gateway_scaling,50,3,150,500,25000,3,98,90,75,6.2281000427901745,Optimal,75.0,4.802200011909008,0.0,8,6.0,2.0,7.0
gateway_scaling,50,3,150,500,25000,4,90,80,53,6.344099994748831,Optimal,53.0,5.175800062716007,0.0,8,4.0,2.0,7.0
gateway_scaling,50,3,150,500,25000,4,95,85,60,6.344099994748831,Optimal,60.0,4.90399997215718,0.0,8,4.0,2.0,7.0
gateway_scaling,50,3,150,500,25000,4,98,90,77,6.344099994748831,Optimal,77.0,4.207299905829132,0.0,8,4.0,2.0,7.0
gateway_scaling,50,5,250,500,25000,0,90,80,51,6.584699964150786,Optimal,51.0,38.291299948468804,0.0,32,26.0,12.0,31.0
gateway_scaling,50,5,250,500,25000,0,95,85,55,6.584699964150786,Optimal,55.0,37.25749999284744,0.0,32,26.0,12.0,31.0
gateway_scaling,50,5,250,500,25000,0,98,90,77,6.584699964150786,Optimal,77.0,33.704300061799586,0.0,32,26.0,12.0,31.0
gateway_scaling,50,5,250,500,25000,1,90,80,52,6.752800079993904,Optimal,52.0,36.661699996329844,0.0,32,24.0,8.0,30.0
gateway_scaling,50,5,250,500,25000,1,95,85,56,6.752800079993904,Optimal,56.0,35.9989000717178,0.0,32,24.0,8.0,30.0
gateway_scaling,50,5,250,500,25000,1,98,90,81,6.752800079993904,Optimal,81.0,32.2037999285385,0.0,32,24.0,8.0,30.0
gateway_scaling,50,5,250,500,25000,2,90,80,50,6.512499996460974,Optimal,50.0,36.10329993534833,0.0,32,24.0,16.0,31.0
gateway_scaling,50,5,250,500,25000,2,95,85,56,6.512499996460974,Optimal,56.0,35.10990005452186,0.0,32,24.0,16.0,31.0
gateway_scaling,50,5,250,500,25000,2,98,90,78,6.512499996460974,Optimal,78.0,30.59390000998974,0.0,32,24.0,16.0,31.0
gateway_scaling,50,5,250,500,25000,3,90,80,56,6.9902000250294805,Optimal,56.0,35.75669997371733,0.0,32,28.0,8.0,31.0
gateway_scaling,50,5,250,500,25000,3,95,85,60,6.9902000250294805,Optimal,60.0,34.86459993291646,0.0,32,28.0,8.0,31.0
gateway_scaling,50,5,250,500,25000,3,98,90,83,6.9902000250294805,Optimal,83.0,32.21299999859184,0.0,32,28.0,8.0,31.0
gateway_scaling,50,5,250,500,25000,4,90,80,53,6.894499994814396,Optimal,53.0,36.53200005646795,0.0,32,24.0,8.0,30.0
gateway_scaling,50,5,250,500,25000,4,95,85,59,6.894499994814396,Optimal,59.0,35.003699944354594,0.0,32,24.0,8.0,30.0
gateway_scaling,50,5,250,500,25000,4,98,90,82,6.894499994814396,Optimal,82.0,31.099700019694865,0.0,32,24.0,8.0,30.0
gateway_scaling,50,10,500,500,25000,0,90,80,50,6.049900082871318,Optimal,50.0,3082.8881000634283,0.0,1024,1001.5,624.0,1020.0
gateway_scaling,50,10,500,500,25000,0,95,85,50,6.049900082871318,Optimal,50.0,3045.9467000328004,0.0,1024,1001.5,624.0,1020.0
gateway_scaling,50,10,500,500,25000,0,98,90,68,6.049900082871318,Optimal,67.0,3008.199700037949,1.0,1024,1001.5,624.0,1020.0
gateway_scaling,50,10,500,500,25000,1,90,80,50,6.098899990320206,Optimal,50.0,2987.086800043471,0.0,1024,980.0,768.0,1019.0
gateway_scaling,50,10,500,500,25000,1,95,85,50,6.098899990320206,Optimal,50.0,2963.7193999951705,0.0,1024,980.0,768.0,1019.0
gateway_scaling,50,10,500,500,25000,1,98,90,70,6.098899990320206,Optimal,70.0,2907.626200001687,0.0,1024,980.0,768.0,1019.0
gateway_scaling,50,10,500,500,25000,2,90,80,51,6.4168000826612115,Optimal,51.0,2943.581199971959,0.0,1024,992.0,272.0,1020.0
gateway_scaling,50,10,500,500,25000,2,95,85,51,6.4168000826612115,Optimal,51.0,2922.589399968274,0.0,1024,992.0,272.0,1020.0
gateway_scaling,50,10,500,500,25000,2,98,90,73,6.4168000826612115,Optimal,73.0,2879.5384999830276,0.0,1024,992.0,272.0,1020.0
gateway_scaling,50,10,500,500,25000,3,90,80,50,5.99159998819232,Optimal,50.0,3075.883699930273,0.0,1024,999.0,892.0,1020.0
gateway_scaling,50,10,500,500,25000,3,95,85,50,5.99159998819232,Optimal,50.0,3056.084099924192,0.0,1024,999.0,892.0,1020.0
gateway_scaling,50,10,500,500,25000,3,98,90,69,5.99159998819232,Optimal,69.0,3016.9119000202045,0.0,1024,999.0,892.0,1020.0
gateway_scaling,50,10,500,500,25000,4,90,80,50,5.94409997574985,Optimal,50.0,3055.858999956399,0.0,1024,991.0,832.0,1019.0
gateway_scaling,50,10,500,500,25000,4,95,85,50,5.94409997574985,Optimal,50.0,3051.3868000125512,0.0,1024,991.0,832.0,1019.0
gateway_scaling,50,10,500,500,25000,4,98,90,68,5.94409997574985,Optimal,68.0,2971.0165000287816,0.0,1024,991.0,832.0,1019.0
gateway_scaling,50,20,1000,500,25000,0,90,80,50,5.6404999922961,Skipped,,,,1048576,,,
gateway_scaling,50,20,1000,500,25000,0,95,85,50,5.6404999922961,Skipped,,,,1048576,,,
gateway_scaling,50,20,1000,500,25000,0,98,90,60,5.6404999922961,Skipped,,,,1048576,,,
gateway_scaling,50,20,1000,500,25000,1,90,80,50,5.811200011521578,Skipped,,,,1048576,,,
gateway_scaling,50,20,1000,500,25000,1,95,85,50,5.811200011521578,Skipped,,,,1048576,,,
gateway_scaling,50,20,1000,500,25000,1,98,90,62,5.811200011521578,Skipped,,,,1048576,,,
gateway_scaling,50,20,1000,500,25000,2,90,80,50,5.7471999898552895,Skipped,,,,1048576,,,
gateway_scaling,50,20,1000,500,25000,2,95,85,50,5.7471999898552895,Skipped,,,,1048576,,,
gateway_scaling,50,20,1000,500,25000,2,98,90,61,5.7471999898552895,Skipped,,,,1048576,,,
gateway_scaling,50,20,1000,500,25000,3,90,80,50,5.757699953392148,Skipped,,,,1048576,,,
gateway_scaling,50,20,1000,500,25000,3,95,85,50,5.757699953392148,Skipped,,,,1048576,,,
gateway_scaling,50,20,1000,500,25000,3,98,90,61,5.757699953392148,Skipped,,,,1048576,,,
gateway_scaling,50,20,1000,500,25000,4,90,80,50,5.542500060983002,Skipped,,,,1048576,,,
gateway_scaling,50,20,1000,500,25000,4,95,85,50,5.542500060983002,Skipped,,,,1048576,,,
