family,n_sensors,n_gateways,n_links,P_min_pct,S_min_pct,greedy_k_median,greedy_runtime_median_ms,exact_k_median,exact_runtime_median_ms,greedy_gap_median_links,greedy_gap_max_links,admissible_subsets_median_at_S85,local_subsets_enumerated_per_sensor
gateway_scaling,50,3,150,90,80,53.0,6.544000003486872,53.0,5.431000026874244,0.0,0.0,4.5,8
gateway_scaling,50,3,150,95,85,60.0,6.544000003486872,60.0,5.130699952133,0.0,1.0,4.5,8
gateway_scaling,50,3,150,98,90,78.0,6.544000003486872,78.0,4.426500061526895,0.0,1.0,4.5,8
gateway_scaling,50,5,250,90,80,52.0,6.752800079993904,52.0,36.53200005646795,0.0,0.0,24.0,32
gateway_scaling,50,5,250,95,85,56.0,6.752800079993904,56.0,35.10990005452186,0.0,0.0,24.0,32
gateway_scaling,50,5,250,98,90,81.0,6.752800079993904,81.0,32.2037999285385,0.0,0.0,24.0,32
gateway_scaling,50,10,500,90,80,50.0,6.049900082871318,50.0,3055.858999956399,0.0,0.0,992.0,1024
gateway_scaling,50,10,500,95,85,50.0,6.049900082871318,50.0,3045.9467000328004,0.0,0.0,992.0,1024
gateway_scaling,50,10,500,98,90,69.0,6.049900082871318,69.0,2971.0165000287816,0.0,1.0,992.0,1024
gateway_scaling,50,20,1000,90,80,50.0,5.7471999898552895,,,,,,1048576
gateway_scaling,50,20,1000,95,85,50.0,5.7471999898552895,,,,,,1048576
gateway_scaling,50,20,1000,98,90,61.0,5.7471999898552895,,,,,,1048576
sensor_scaling,10,3,30,90,80,11.0,0.6881000008434057,11.0,0.39770000148564577,0.0,0.0,6.0,8
sensor_scaling,10,3,30,95,85,12.0,0.6881000008434057,12.0,0.3852000227198005,0.0,0.0,6.0,8
sensor_scaling,10,3,30,98,90,16.0,0.6881000008434057,16.0,0.36200007889419794,0.0,0.0,6.0,8
sensor_scaling,50,3,150,90,80,53.0,6.501100026071072,53.0,5.459500011056662,0.0,0.0,4.5,8
sensor_scaling,50,3,150,95,85,60.0,6.501100026071072,60.0,5.086100078187883,0.0,1.0,4.5,8
sensor_scaling,50,3,150,98,90,78.0,6.501100026071072,78.0,4.466800019145012,0.0,1.0,4.5,8
sensor_scaling,100,3,300,90,80,105.0,26.377099915407598,105.0,19.754600012674928,0.0,0.0,5.0,8
sensor_scaling,100,3,300,95,85,119.0,26.377099915407598,119.0,18.81360006518662,0.0,1.0,5.0,8
sensor_scaling,100,3,300,98,90,158.0,26.377099915407598,158.0,16.385499970056117,0.0,1.0,5.0,8
sensor_scaling,200,3,600,90,80,218.0,133.15309991594404,218.0,78.94809998106211,0.0,0.0,5.0,8
sensor_scaling,200,3,600,95,85,241.0,133.15309991594404,241.0,75.7619000505656,0.0,1.0,5.0,8
sensor_scaling,200,3,600,98,90,318.0,133.15309991594404,317.0,62.36720003653318,0.0,1.0,5.0,8
sensor_scaling,500,3,1500,90,80,536.0,1518.2539999950677,536.0,543.9858000027016,0.0,0.0,5.0,8
sensor_scaling,500,3,1500,95,85,600.0,1518.2539999950677,600.0,505.4569999920204,1.0,1.0,5.0,8
sensor_scaling,500,3,1500,98,90,790.0,1518.2539999950677,790.0,419.7322999825701,0.0,1.0,5.0,8
