test_month,P_min_pct,S_min_pct,policy,fit_method,fit_months,fit_status,n_links,test_oracle_n_links,budget_minus_test_oracle,subset_jaccard_with_test_oracle,subset_hash,selected_links,is_initial_observation_cold_start,is_before_frozen_policy_available
2024-03,90,80,previous_month,proposed,2024-02,Feasible,9,9,0,0.3846153846153846,68aabbae95322465,sensor01→gatewayC;sensor02→gatewayC;sensor03→gatewayC;sensor04→gatewayC;sensor05→gatewayA;sensor06→gatewayA;sensor07→gatewayA;sensor08→gatewayA;sensor09→gatewayA,True,True
2024-03,90,80,expanding_window,proposed,2024-02,Feasible,9,9,0,0.3846153846153846,68aabbae95322465,sensor01→gatewayC;sensor02→gatewayC;sensor03→gatewayC;sensor04→gatewayC;sensor05→gatewayA;sensor06→gatewayA;sensor07→gatewayA;sensor08→gatewayA;sensor09→gatewayA,True,True
2024-03,90,80,previous_month,multicover,2024-02,Feasible,9,9,0,0.5,2d610032a3e50ee7,sensor01→gatewayA;sensor02→gatewayC;sensor03→gatewayC;sensor04→gatewayC;sensor05→gatewayA;sensor06→gatewayA;sensor07→gatewayA;sensor08→gatewayA;sensor09→gatewayA,True,True
2024-03,90,80,expanding_window,multicover,2024-02,Feasible,9,9,0,0.5,2d610032a3e50ee7,sensor01→gatewayA;sensor02→gatewayC;sensor03→gatewayC;sensor04→gatewayC;sensor05→gatewayA;sensor06→gatewayA;sensor07→gatewayA;sensor08→gatewayA;sensor09→gatewayA,True,True
2024-03,90,80,previous_month,coverage_only,2024-02,Feasible,9,9,0,0.3846153846153846,68aabbae95322465,sensor01→gatewayC;sensor02→gatewayC;sensor03→gatewayC;sensor04→gatewayC;sensor05→gatewayA;sensor06→gatewayA;sensor07→gatewayA;sensor08→gatewayA;sensor09→gatewayA,True,True
2024-03,90,80,expanding_window,coverage_only,2024-02,Feasible,9,9,0,0.3846153846153846,68aabbae95322465,sensor01→gatewayC;sensor02→gatewayC;sensor03→gatewayC;sensor04→gatewayC;sensor05→gatewayA;sensor06→gatewayA;sensor07→gatewayA;sensor08→gatewayA;sensor09→gatewayA,True,True
2024-03,90,80,previous_month,exact,2024-02,Optimal,9,9,0,0.3846153846153846,68aabbae95322465,sensor01→gatewayC;sensor02→gatewayC;sensor03→gatewayC;sensor04→gatewayC;sensor05→gatewayA;sensor06→gatewayA;sensor07→gatewayA;sensor08→gatewayA;sensor09→gatewayA,True,True
2024-03,90,80,expanding_window,exact,2024-02,Optimal,9,9,0,0.3846153846153846,68aabbae95322465,sensor01→gatewayC;sensor02→gatewayC;sensor03→gatewayC;sensor04→gatewayC;sensor05→gatewayA;sensor06→gatewayA;sensor07→gatewayA;sensor08→gatewayA;sensor09→gatewayA,True,True
2024-03,90,80,retrospective_oracle,exact,2024-03,Optimal,9,9,0,1.0,5116df5a05fbbfe0,sensor01→gatewayA;sensor02→gatewayA;sensor03→gatewayA;sensor04→gatewayA;sensor05→gatewayA;sensor06→gatewayA;sensor07→gatewayA;sensor08→gatewayA;sensor09→gatewayA,True,True
2024-03,95,85,previous_month,proposed,2024-02,Feasible,9,9,0,0.3846153846153846,68aabbae95322465,sensor01→gatewayC;sensor02→gatewayC;sensor03→gatewayC;sensor04→gatewayC;sensor05→gatewayA;sensor06→gatewayA;sensor07→gatewayA;sensor08→gatewayA;sensor09→gatewayA,True,True
2024-03,95,85,expanding_window,proposed,2024-02,Feasible,9,9,0,0.3846153846153846,68aabbae95322465,sensor01→gatewayC;sensor02→gatewayC;sensor03→gatewayC;sensor04→gatewayC;sensor05→gatewayA;sensor06→gatewayA;sensor07→gatewayA;sensor08→gatewayA;sensor09→gatewayA,True,True
2024-03,95,85,previous_month,multicover,2024-02,Feasible,9,9,0,0.5,2d610032a3e50ee7,sensor01→gatewayA;sensor02→gatewayC;sensor03→gatewayC;sensor04→gatewayC;sensor05→gatewayA;sensor06→gatewayA;sensor07→gatewayA;sensor08→gatewayA;sensor09→gatewayA,True,True
2024-03,95,85,expanding_window,multicover,2024-02,Feasible,9,9,0,0.5,2d610032a3e50ee7,sensor01→gatewayA;sensor02→gatewayC;sensor03→gatewayC;sensor04→gatewayC;sensor05→gatewayA;sensor06→gatewayA;sensor07→gatewayA;sensor08→gatewayA;sensor09→gatewayA,True,True
2024-03,95,85,previous_month,coverage_only,2024-02,Feasible,9,9,0,0.3846153846153846,68aabbae95322465,sensor01→gatewayC;sensor02→gatewayC;sensor03→gatewayC;sensor04→gatewayC;sensor05→gatewayA;sensor06→gatewayA;sensor07→gatewayA;sensor08→gatewayA;sensor09→gatewayA,True,True
2024-03,95,85,expanding_window,coverage_only,2024-02,Feasible,9,9,0,0.3846153846153846,68aabbae95322465,sensor01→gatewayC;sensor02→gatewayC;sensor03→gatewayC;sensor04→gatewayC;sensor05→gatewayA;sensor06→gatewayA;sensor07→gatewayA;sensor08→gatewayA;sensor09→gatewayA,True,True
2024-03,95,85,previous_month,exact,2024-02,Optimal,9,9,0,0.3846153846153846,68aabbae95322465,sensor01→gatewayC;sensor02→gatewayC;sensor03→gatewayC;sensor04→gatewayC;sensor05→gatewayA;sensor06→gatewayA;sensor07→gatewayA;sensor08→gatewayA;sensor09→gatewayA,True,True
2024-03,95,85,expanding_window,exact,2024-02,Optimal,9,9,0,0.3846153846153846,68aabbae95322465,sensor01→gatewayC;sensor02→gatewayC;sensor03→gatewayC;sensor04→gatewayC;sensor05→gatewayA;sensor06→gatewayA;sensor07→gatewayA;sensor08→gatewayA;sensor09→gatewayA,True,True
2024-03,95,85,retrospective_oracle,exact,2024-03,Optimal,9,9,0,1.0,5116df5a05fbbfe0,sensor01→gatewayA;sensor02→gatewayA;sensor03→gatewayA;sensor04→gatewayA;sensor05→gatewayA;sensor06→gatewayA;sensor07→gatewayA;sensor08→gatewayA;sensor09→gatewayA,True,True
2024-03,98,90,previous_month,proposed,2024-02,Feasible,11,11,0,0.375,c5938768945b9d17,sensor01→gatewayA;sensor01→gatewayC;sensor02→gatewayC;sensor03→gatewayC;sensor04→gatewayC;sensor05→gatewayA;sensor06→gatewayA;sensor07→gatewayA;sensor07→gatewayC;sensor08→gatewayA;sensor09→gatewayA,True,True
2024-03,98,90,expanding_window,proposed,2024-02,Feasible,11,11,0,0.375,c5938768945b9d17,sensor01→gatewayA;sensor01→gatewayC;sensor02→gatewayC;sensor03→gatewayC;sensor04→gatewayC;sensor05→gatewayA;sensor06→gatewayA;sensor07→gatewayA;sensor07→gatewayC;sensor08→gatewayA;sensor09→gatewayA,True,True
2024-03,98,90,previous_month,multicover,2024-02,Feasible,11,11,0,0.375,c5938768945b9d17,sensor01→gatewayA;sensor01→gatewayC;sensor02→gatewayC;sensor03→gatewayC;sensor04→gatewayC;sensor05→gatewayA;sensor06→gatewayA;sensor07→gatewayA;sensor07→gatewayC;sensor08→gatewayA;sensor09→gatewayA,True,True
2024-03,98,90,expanding_window,multicover,2024-02,Feasible,11,11,0,0.375,c5938768945b9d17,sensor01→gatewayA;sensor01→gatewayC;sensor02→gatewayC;sensor03→gatewayC;sensor04→gatewayC;sensor05→gatewayA;sensor06→gatewayA;sensor07→gatewayA;sensor07→gatewayC;sensor08→gatewayA;sensor09→gatewayA,True,True
2024-03,98,90,previous_month,coverage_only,2024-02,Feasible,11,11,0,0.375,c5938768945b9d17,sensor01→gatewayA;sensor01→gatewayC;sensor02→gatewayC;sensor03→gatewayC;sensor04→gatewayC;sensor05→gatewayA;sensor06→gatewayA;sensor07→gatewayA;sensor07→gatewayC;sensor08→gatewayA;sensor09→gatewayA,True,True
2024-03,98,90,expanding_window,coverage_only,2024-02,Feasible,11,11,0,0.375,c5938768945b9d17,sensor01→gatewayA;sensor01→gatewayC;sensor02→gatewayC;sensor03→gatewayC;sensor04→gatewayC;sensor05→gatewayA;sensor06→gatewayA;sensor07→gatewayA;sensor07→gatewayC;sensor08→gatewayA;sensor09→gatewayA,True,True
2024-03,98,90,previous_month,exact,2024-02,Optimal,11,11,0,0.375,c5938768945b9d17,sensor01→gatewayA;sensor01→gatewayC;sensor02→gatewayC;sensor03→gatewayC;sensor04→gatewayC;sensor05→gatewayA;sensor06→gatewayA;sensor07→gatewayA;sensor07→gatewayC;sensor08→gatewayA;sensor09→gatewayA,True,True
2024-03,98,90,expanding_window,exact,2024-02,Optimal,11,11,0,0.375,c5938768945b9d17,sensor01→gatewayA;sensor01→gatewayC;sensor02→gatewayC;sensor03→gatewayC;sensor04→gatewayC;sensor05→gatewayA;sensor06→gatewayA;sensor07→gatewayA;sensor07→gatewayC;sensor08→gatewayA;sensor09→gatewayA,True,True
2024-03,98,90,retrospective_oracle,exact,2024-03,Optimal,11,11,0,1.0,91d8c74dc49370dc,sensor01→gatewayA;sensor02→gatewayA;sensor03→gatewayA;sensor04→gatewayA;sensor05→gatewayA;sensor06→gatewayA;sensor07→gatewayA;sensor08→gatewayA;sensor08→gatewayB;sensor09→gatewayA;sensor09→gatewayB,True,True
2024-04,90,80,previous_month,proposed,2024-03,Feasible,9,9,0,0.8,5116df5a05fbbfe0,sensor01→gatewayA;sensor02→gatewayA;sensor03→gatewayA;sensor04→gatewayA;sensor05→gatewayA;sensor06→gatewayA;sensor07→gatewayA;sensor08→gatewayA;sensor09→gatewayA,False,True
2024-04,90,80,expanding_window,proposed,2024-02;2024-03,Feasible,9,9,0,0.8,5116df5a05fbbfe0,sensor01→gatewayA;sensor02→gatewayA;sensor03→gatewayA;sensor04→gatewayA;sensor05→gatewayA;sensor06→gatewayA;sensor07→gatewayA;sensor08→gatewayA;sensor09→gatewayA,False,True
2024-04,90,80,previous_month,multicover,2024-03,Feasible,9,9,0,0.8,5116df5a05fbbfe0,sensor01→gatewayA;sensor02→gatewayA;sensor03→gatewayA;sensor04→gatewayA;sensor05→gatewayA;sensor06→gatewayA;sensor07→gatewayA;sensor08→gatewayA;sensor09→gatewayA,False,True
2024-04,90,80,expanding_window,multicover,2024-02;2024-03,Feasible,9,9,0,0.8,5116df5a05fbbfe0,sensor01→gatewayA;sensor02→gatewayA;sensor03→gatewayA;sensor04→gatewayA;sensor05→gatewayA;sensor06→gatewayA;sensor07→gatewayA;sensor08→gatewayA;sensor09→gatewayA,False,True
2024-04,90,80,previous_month,coverage_only,2024-03,Feasible,9,9,0,0.8,5116df5a05fbbfe0,sensor01→gatewayA;sensor02→gatewayA;sensor03→gatewayA;sensor04→gatewayA;sensor05→gatewayA;sensor06→gatewayA;sensor07→gatewayA;sensor08→gatewayA;sensor09→gatewayA,False,True
2024-04,90,80,expanding_window,coverage_only,2024-02;2024-03,Feasible,9,9,0,0.8,5116df5a05fbbfe0,sensor01→gatewayA;sensor02→gatewayA;sensor03→gatewayA;sensor04→gatewayA;sensor05→gatewayA;sensor06→gatewayA;sensor07→gatewayA;sensor08→gatewayA;sensor09→gatewayA,False,True
2024-04,90,80,previous_month,exact,2024-03,Optimal,9,9,0,0.8,5116df5a05fbbfe0,sensor01→gatewayA;sensor02→gatewayA;sensor03→gatewayA;sensor04→gatewayA;sensor05→gatewayA;sensor06→gatewayA;sensor07→gatewayA;sensor08→gatewayA;sensor09→gatewayA,False,True
2024-04,90,80,expanding_window,exact,2024-02;2024-03,Optimal,9,9,0,0.8,5116df5a05fbbfe0,sensor01→gatewayA;sensor02→gatewayA;sensor03→gatewayA;sensor04→gatewayA;sensor05→gatewayA;sensor06→gatewayA;sensor07→gatewayA;sensor08→gatewayA;sensor09→gatewayA,False,True
2024-04,90,80,retrospective_oracle,exact,2024-04,Optimal,9,9,0,1.0,a3ace494bf9be893,sensor01→gatewayA;sensor02→gatewayC;sensor03→gatewayA;sensor04→gatewayA;sensor05→gatewayA;sensor06→gatewayA;sensor07→gatewayA;sensor08→gatewayA;sensor09→gatewayA,False,True
2024-04,95,85,previous_month,proposed,2024-03,Feasible,9,10,-1,0.7272727272727273,5116df5a05fbbfe0,sensor01→gatewayA;sensor02→gatewayA;sensor03→gatewayA;sensor04→gatewayA;sensor05→gatewayA;sensor06→gatewayA;sensor07→gatewayA;sensor08→gatewayA;sensor09→gatewayA,False,True
2024-04,95,85,expanding_window,proposed,2024-02;2024-03,Feasible,10,10,0,0.8181818181818182,653063214fd849c6,sensor01→gatewayA;sensor02→gatewayA;sensor02→gatewayC;sensor03→gatewayA;sensor04→gatewayA;sensor05→gatewayA;sensor06→gatewayA;sensor07→gatewayA;sensor08→gatewayA;sensor09→gatewayA,False,True
2024-04,95,85,previous_month,multicover,2024-03,Feasible,9,10,-1,0.7272727272727273,5116df5a05fbbfe0,sensor01→gatewayA;sensor02→gatewayA;sensor03→gatewayA;sensor04→gatewayA;sensor05→gatewayA;sensor06→gatewayA;sensor07→gatewayA;sensor08→gatewayA;sensor09→gatewayA,False,True
2024-04,95,85,expanding_window,multicover,2024-02;2024-03,Feasible,10,10,0,0.6666666666666666,6756bef9be569a69,sensor01→gatewayA;sensor01→gatewayC;sensor02→gatewayA;sensor03→gatewayA;sensor04→gatewayA;sensor05→gatewayA;sensor06→gatewayA;sensor07→gatewayA;sensor08→gatewayA;sensor09→gatewayA,False,True
2024-04,95,85,previous_month,coverage_only,2024-03,Feasible,9,10,-1,0.7272727272727273,5116df5a05fbbfe0,sensor01→gatewayA;sensor02→gatewayA;sensor03→gatewayA;sensor04→gatewayA;sensor05→gatewayA;sensor06→gatewayA;sensor07→gatewayA;sensor08→gatewayA;sensor09→gatewayA,False,True
2024-04,95,85,expanding_window,coverage_only,2024-02;2024-03,Feasible,10,10,0,0.8181818181818182,653063214fd849c6,sensor01→gatewayA;sensor02→gatewayA;sensor02→gatewayC;sensor03→gatewayA;sensor04→gatewayA;sensor05→gatewayA;sensor06→gatewayA;sensor07→gatewayA;sensor08→gatewayA;sensor09→gatewayA,False,True
2024-04,95,85,previous_month,exact,2024-03,Optimal,9,10,-1,0.7272727272727273,5116df5a05fbbfe0,sensor01→gatewayA;sensor02→gatewayA;sensor03→gatewayA;sensor04→gatewayA;sensor05→gatewayA;sensor06→gatewayA;sensor07→gatewayA;sensor08→gatewayA;sensor09→gatewayA,False,True
2024-04,95,85,expanding_window,exact,2024-02;2024-03,Optimal,10,10,0,0.8181818181818182,653063214fd849c6,sensor01→gatewayA;sensor02→gatewayA;sensor02→gatewayC;sensor03→gatewayA;sensor04→gatewayA;sensor05→gatewayA;sensor06→gatewayA;sensor07→gatewayA;sensor08→gatewayA;sensor09→gatewayA,False,True
2024-04,95,85,retrospective_oracle,exact,2024-04,Optimal,10,10,0,1.0,947350bea811764a,sensor01→gatewayA;sensor02→gatewayC;sensor03→gatewayA;sensor04→gatewayA;sensor04→gatewayC;sensor05→gatewayA;sensor06→gatewayA;sensor07→gatewayA;sensor08→gatewayA;sensor09→gatewayA,False,True
2024-04,98,90,previous_month,proposed,2024-03,Feasible,11,14,-3,0.6666666666666666,91d8c74dc49370dc,sensor01→gatewayA;sensor02→gatewayA;sensor03→gatewayA;sensor04→gatewayA;sensor05→gatewayA;sensor06→gatewayA;sensor07→gatewayA;sensor08→gatewayA;sensor08→gatewayB;sensor09→gatewayA;sensor09→gatewayB,False,True
2024-04,98,90,expanding_window,proposed,2024-02;2024-03,Feasible,13,14,-1,0.9285714285714286,02b483276331df2a,sensor01→gatewayA;sensor01→gatewayC;sensor02→gatewayA;sensor02→gatewayC;sensor03→gatewayA;sensor03→gatewayC;sensor04→gatewayA;sensor04→gatewayC;sensor05→gatewayA;sensor06→gatewayA;sensor07→gatewayA;sensor08→gatewayA;sensor09→gatewayA,False,True
2024-04,98,90,previous_month,multicover,2024-03,Feasible,11,14,-3,0.7857142857142857,ce4a3ca4dad5360b,sensor01→gatewayA;sensor02→gatewayA;sensor02→gatewayC;sensor03→gatewayA;sensor04→gatewayA;sensor05→gatewayA;sensor06→gatewayA;sensor07→gatewayA;sensor08→gatewayA;sensor08→gatewayB;sensor09→gatewayA,False,True
2024-04,98,90,expanding_window,multicover,2024-02;2024-03,Feasible,13,14,-1,0.9285714285714286,02b483276331df2a,sensor01→gatewayA;sensor01→gatewayC;sensor02→gatewayA;sensor02→gatewayC;sensor03→gatewayA;sensor03→gatewayC;sensor04→gatewayA;sensor04→gatewayC;sensor05→gatewayA;sensor06→gatewayA;sensor07→gatewayA;sensor08→gatewayA;sensor09→gatewayA,False,True
2024-04,98,90,previous_month,coverage_only,2024-03,Feasible,11,14,-3,0.6666666666666666,91d8c74dc49370dc,sensor01→gatewayA;sensor02→gatewayA;sensor03→gatewayA;sensor04→gatewayA;sensor05→gatewayA;sensor06→gatewayA;sensor07→gatewayA;sensor08→gatewayA;sensor08→gatewayB;sensor09→gatewayA;sensor09→gatewayB,False,True
2024-04,98,90,expanding_window,coverage_only,2024-02;2024-03,Feasible,13,14,-1,0.9285714285714286,02b483276331df2a,sensor01→gatewayA;sensor01→gatewayC;sensor02→gatewayA;sensor02→gatewayC;sensor03→gatewayA;sensor03→gatewayC;sensor04→gatewayA;sensor04→gatewayC;sensor05→gatewayA;sensor06→gatewayA;sensor07→gatewayA;sensor08→gatewayA;sensor09→gatewayA,False,True
2024-04,98,90,previous_month,exact,2024-03,Optimal,11,14,-3,0.6666666666666666,91d8c74dc49370dc,sensor01→gatewayA;sensor02→gatewayA;sensor03→gatewayA;sensor04→gatewayA;sensor05→gatewayA;sensor06→gatewayA;sensor07→gatewayA;sensor08→gatewayA;sensor08→gatewayB;sensor09→gatewayA;sensor09→gatewayB,False,True
2024-04,98,90,expanding_window,exact,2024-02;2024-03,Optimal,13,14,-1,0.9285714285714286,02b483276331df2a,sensor01→gatewayA;sensor01→gatewayC;sensor02→gatewayA;sensor02→gatewayC;sensor03→gatewayA;sensor03→gatewayC;sensor04→gatewayA;sensor04→gatewayC;sensor05→gatewayA;sensor06→gatewayA;sensor07→gatewayA;sensor08→gatewayA;sensor09→gatewayA,False,True
